Humidity,PM2.5,Precipitation,Temperature,Wind Speed
71.3,56.79,3.5,74.11,4.42
76.73,78,0,72.91,4.98
65.47,43.81,0.2,73.29,6.1
65.48,30.9,1.1,73.81,4.51
61.95,52.42,0,75.16,4.98
65.67,51.54,0,75.2,5.42
81.17,58.08,0,70.51,4.29
85.64,53.69,19.5,68.08,3.42
78.38,49.73,5.5,72.01,3.67
74.3,47.42,0,58.55,3.83
74.39,49.65,0,55.78,3.48
71.32,51.38,0.01,57.99,3.9
68.54,47.73,0,58.02,4.69
69.3,47.06,0,58.1,4.21
61.18,46.17,0,58.32,4.12
89.19,40.75,8.2,51.05,3.08
71.82,47.52,0.5,55.51,4.58
74.6,41.17,0,59.68,4.54
72.6,44.44,0,60.54,4.77
64.54,43.81,0,61.92,4.29
53.64,44,0,62.9,4.67
72.83,71.83,0,56,3.62
76.69,40.17,0.01,57.42,3.85
62.3,32.96,0,58.25,4.94
63.77,29.83,0,59.11,4.19
70.36,26.9,0,60.5,5.12
66.55,29.08,0,60.42,5.04
66.2,31.62,0,61.36,5.77
61.06,40.92,0,60.5,4.02
71.07,40.92,0,57.84,4.21
75.36,38.58,0.01,58.92,4.71
84.79,25.75,4.3,57.61,3.69
78.19,34.4,9.4,62.04,3.67
73.4,37.1,0,64.77,4.25
74.59,41.67,0.01,66.89,3.98
70.06,46.1,0,69.12,5.52
53.78,17.67,3.2,66.8,5.73
55.37,28.04,0,66.58,4.75
56.63,34.08,0,66.27,4.35
62.42,43.17,0,66.58,5.17
70.08,45.69,0,63.01,4.73
51.43,30.44,1.5,65.04,4.75
51.92,43.15,0,65.19,4.67
53.41,52.46,0,64.77,4.81
53.24,68.71,0,64.81,4.23
53.31,80.23,0,66.35,4.77
55.24,73.98,0,67.55,3.98
55.46,80.25,0,66.82,4.52
44.22,60.65,0,66.2,4.71
48.21,75.08,0,67.51,4.92
67.22,128.23,0,64.32,3.88
67.75,106.48,1.2,68.9,4.75
68.72,87.31,0,70.48,5.5
67.89,59.5,2,69.16,3.83
63.97,29.38,1.2,69.88,4.38
75.52,38.54,0.01,68.26,3.29
80.47,46.67,2,68.04,4.67
71.1,24.69,3.7,66.39,4.54
66.2,25.79,1.6,65.86,4.46
63.31,30.31,1.6,66.01,4.42
82.56,11.65,15.2,59.68,5.04
79.32,13.31,11.2,60.5,2.88
85.69,26.58,0.01,60.8,2.65
82.51,28.08,6.6,62.22,3.06
88.47,26.4,5,62.3,3.47
86.21,29.23,25,64.14,3.02
85.03,20.79,2.7,63.05,3.58
80.54,19.25,4.5,63.76,3.73
85.82,19.9,0.01,63.76,3
80.08,21.15,4,66.65,3.27
86.86,19.73,0.01,65.04,2.62
80.59,19.54,4.5,67.66,2.94
76.7,23.52,0.1,68.69,2.96
87.42,14.9,0.2,63.95,2.73
84.66,15.48,8,64.14,3.2
78.8,8.44,5.1,64.78,3.33
83.61,13.81,0.1,59.11,3.52
72.84,17.52,9.6,66.12,4.15
73.15,20.83,0,69.99,4
78.66,24.71,0,65.56,3.71
77.42,39.12,0.2,65.94,2
73.04,37.48,0.2,69.5,4.06
66.62,28.6,0.01,72.54,3.73
67.66,33.94,0,74.04,4.79
76.6,33.25,0.3,73.18,4.23
68.7,40.56,0,73.89,4.31
66.88,38.02,0,74.94,4.65
71,36.4,0,74,4.48
61.97,26.62,0.2,72.52,4.88
74.37,26.15,0,72.12,4.75
76.76,23.75,1,74.26,4.44
79.47,29.6,0.01,74.41,5.38
81.31,22.15,0,74.49,5.71
71.24,29.23,0,75.73,4.21
72.87,29.96,0.01,73.62,4.44
84.95,27.73,10.7,68.11,4.58
87.92,21.67,23.3,65.79,3.23
77.87,17.52,18.5,70.89,4.33
76.37,10.04,6,68.79,3.79
76.97,16.1,0.01,71.15,4.16
84.61,18.73,0.01,70.14,3.33
58.56,72.4,0,62.52,4.54
49,62.98,0,59.15,5.58
50.3,72.23,0,59.08,5.38
59.86,80.69,0,59.64,4.31
72.77,87.33,0,58.44,4.5
73.41,65.58,6,58.78,3.98
79.85,94.62,0,59.08,3.19
68.87,77.9,0.01,62.19,4.56
59.42,60.85,0.01,63.95,4.88
65.34,61.98,0,62.34,5.06
61.79,56.58,0.5,63.88,4.62
58.69,82.1,0,66.24,4.75
70.81,53.67,0,59.71,3.65
71.37,70.71,0.1,61.92,4.12
64.84,79.25,0,63.39,4.69
63.65,87.48,0,64.18,4.77
57.85,102.77,0,64.18,5
60.21,148.25,0,65.15,4.62
55.83,119.5,0,65.79,3.75
50.44,104.35,0,65.23,5.1
47.13,92.6,0,67.18,4.08
50.13,126.06,0,66.24,4.12
49.35,153.73,0,67.89,4.46
46.05,115.48,0,66.99,4.75
38.88,101.17,0,65.23,4.25
47.62,204.17,0,64.21,4.9
53.79,305.02,0,63.72,3.85
57.68,278.6,0,63.09,3.31
57.88,248.29,0,64.55,3.46
