Humidity_std,Precipitation_std,Temperature_std,Wind Speed_std
-0.642364456,-0.136020507,-1.336391058,-0.268842607
-0.304881217,-0.586414103,-2.06600679,-0.804071034
-0.86446881,-0.62053483,-0.993042478,-0.964639563
-0.415933394,-0.552293376,-0.244351824,-0.472229409
-0.936580614,2.279726962,-0.082214995,0.223567546
-0.697169427,-0.62053483,0.437576606,-0.001228393
0.075869104,4.149542799,0.079921835,-0.290251744
-0.202482457,0.553218178,-0.277732936,-1.071685248
-0.754858869,-0.606886539,0.938293285,-0.450820272
-0.852930922,-0.497700212,0.704625501,0.394840643
-0.971194279,-0.62053483,0.876299791,2.268140139
-0.638037748,0.368966252,0.938293285,0.309204095
-1.556742122,-0.62053483,1.009824239,1.625866026
-0.760627814,-0.62053483,0.222983743,-0.001228393
0.499886507,-0.142844652,-1.422228203,0.170044704
0.975824409,-0.231558542,-1.54621519,-1.050276111
0.537384645,0.116472873,-1.193329149,-0.557865958
-1.222143355,0.444031852,0.809537567,-0.140387784
-2.469677551,-0.62053483,1.348404089,1.026410188
-1.654814174,-0.62053483,1.152886147,0.887250797
-0.998596764,-0.484051922,0.723700422,0.041589881
-0.858699866,-0.62053483,1.071817733,0.148635567
0.241726252,-0.224734397,0.327895809,-0.557865958
-0.237096122,-0.600062393,0.580638514,-0.493638546
-0.306323453,-0.020010035,0.34697073,0.705273131
0.352778429,0.962666901,-0.082214995,-1.028866974
-0.571694889,-0.449931195,0.885837252,-0.118978647
-0.743320981,-0.62053483,0.599713435,1.690093438
-0.212578109,-0.62053483,-0.115596107,-0.118978647
0.104713825,-0.374865595,-0.134671028,-0.579275095
1.049378448,-0.347569014,-1.102723274,-1.606913676
1.83683934,0.403086979,-2.104156632,-1.746073067
0.551807006,1.64508144,-0.621081516,-0.739843623
-0.430355755,-0.484051922,0.447114066,0.459068055
0.051351091,-0.600062393,-0.029758962,-0.857593877
-0.596212902,1.972640419,1.36747901,0.972887345
-0.535638988,-0.62053483,1.491465997,-0.044046667
0.625361045,-0.115548071,-0.17282087,0.373431506
0.704684028,0.628283777,-0.115596107,-1.146617228
0.854676579,0.607811341,-0.401719923,-0.579275095
1.193602055,0.75794254,-0.673537549,-0.450820272
