Humidity_std,Precipitation_std,Temperature_std,Wind Speed_std
0.598772386,-0.413135785,-0.87575944,0.223408222
0.187861397,-0.413135785,-1.214807971,0.395741665
-0.087120862,-0.006975534,-1.020206151,-0.425376506
-0.61599299,-0.413135785,-0.598903244,0.821506642
-1.209704685,-0.413135785,-0.719275503,1.510840415
-1.318291429,-0.413135785,-1.170671476,0.334918097
-0.341791931,-0.413135785,-1.094435711,0.922879256
0.237858171,-0.413135785,-1.208789358,0.28423179
-0.169928019,-0.413135785,-1.004156517,0.314643574
-0.290232757,-0.413135785,-1.034249582,-0.171944971
0.987028586,-0.413135785,-1.764507955,-0.749768869
0.544088414,1.820745593,-1.579937157,-1.033612187
0.503466035,-0.381892689,-0.93594557,-0.242905801
0.324571327,-0.413135785,-0.538717114,0.43629071
-0.125399642,-0.413135785,-0.793505063,0.030800256
-0.833947678,0.36794162,-0.883784257,3.538292688
-1.415160179,-0.413135785,-1.050299216,0.649173199
-1.033934775,-0.413135785,-1.094435711,0.111898347
-0.822229684,-0.413135785,-0.689182438,-0.597709949
-0.75270292,-0.413135785,-0.422357263,0.50725154
-0.71364294,-0.413135785,-0.237786466,0.223408222
-0.9855004,-0.413135785,-0.221736831,0.963428301
-1.307354635,-0.413135785,-0.289947778,-0.070572358
-1.228453475,-0.413135785,-0.245811283,0.243682744
-0.977688404,-0.413135785,-0.305997413,0.101761085
-0.019156497,-0.413135785,-1.154621841,0.263957267
-0.776920107,-0.319406496,-0.117414206,0.497114279
-0.174615217,-0.413135785,-0.273898143,2.362370369
-0.864414462,0.055510658,-0.053215668,0.365329881
-1.443283365,-0.100704823,-0.913877322,2.463742983
-0.729266932,-0.413135785,-0.635014921,0.142310131
-0.833947678,1.383342246,-0.057228077,-0.070572358
0.151145016,-0.413135785,-0.087321141,0.547800585
0.479248847,7.585096842,-0.221736831,-0.465925551
1.555741894,0.086753754,-1.236876218,-0.790317915
0.552681609,2.351878229,-0.659089373,-0.283454846
0.530026821,-0.413135785,-0.101364572,0.334918097
0.759699503,0.555400197,-0.530692297,-0.952514096
0.39487929,-0.413135785,-0.199668583,-1.165396585
0.615958777,0.024267562,-0.139482454,-0.516611858
0.441751266,-0.413135785,-0.440413102,-1.256631937
0.540963615,-0.413135785,-0.448437919,0.568075108
-1.072994755,-0.381892689,0.765315696,2.656350949
-2.047150654,-0.413135785,0.662999275,3.051704142
-1.33547782,-0.413135785,0.033051118,0.43629071
-1.003467991,-0.413135785,0.402192713,0.608624154
-0.022281295,-0.413135785,0.624881393,0.608624154
0.644863162,1.070911284,-0.057228077,0.020662994
0.390192093,0.086753754,0.372099648,0.476839756
0.566743202,-0.413135785,0.350031401,-0.374690199
-0.309762747,-0.178812563,0.628893802,0.943153779
-1.158926711,-0.413135785,0.815470804,1.814958256
-1.769824797,-0.413135785,0.78136533,0.334918097
-1.519059726,-0.413135785,0.522564973,1.308095188
-1.319853828,-0.413135785,0.446329208,0.497114279
-0.612868192,-0.413135785,0.410217531,-0.00974879
0.721420723,-0.413135785,-0.456462737,0.416016188
0.831569866,-0.069461727,-0.297972595,-0.932239574
1.451061148,4.741975088,-0.508624049,-1.165396585
1.269041641,0.571021745,-0.334084273,-1.378279074
1.203420875,-0.366271141,-0.63902733,0.263957267
0.867505047,-0.413135785,0.175491625,-0.344278415
0.747200309,1.617665468,0.416236144,0.162584654
1.56355389,-0.21005566,-0.703225868,-1.439102642
0.720639523,-0.163191015,0.01098287,0.669447722
0.670642749,-0.335028044,0.410217531,-0.790317915
0.795634684,-0.413135785,0.514540155,-0.242905801
0.069900257,-0.413135785,1.034147075,1.206722574
-1.065963959,-0.319406496,1.327052906,2.707037256
-0.995655995,-0.053840179,0.996029193,1.429742324
-0.621461387,-0.413135785,0.311913519,0.162584654
0.074587455,-0.413135785,0.681055114,0.040937517
0.456594059,-0.413135785,0.996029193,0.162584654
1.108895723,-0.413135785,0.53058979,-0.050297835
1.639330251,2.867389316,-0.831622945,-1.27690646
0.690953938,-0.319406496,0.041075935,-1.27690646
0.800321882,-0.413135785,0.60481935,0.314643574
1.228419262,1.149019025,0.147404764,-0.993063142
0.917501822,-0.366271141,0.711148179,-1.12484754
1.156548899,-0.413135785,0.673030297,-1.439102642
0.839381862,1.242748314,1.140475904,-0.911965051
0.692516337,-0.413135785,1.433381735,0.182859176
0.872192245,0.758480323,1.627983554,-0.090846881
