Humidity_std,Precipitation_std,Temperature_std,Wind Speed_std
0.52742115,-0.175390919,0.370487415,-0.796001689
0.108788031,-0.175390919,0.338074878,-0.605132531
0.339358272,-0.175390919,0.257043535,-0.75358632
0.372848922,-0.175390919,0.305662341,-0.20218653
-0.218389853,-0.175390919,1.075460095,-0.912643952
0.205395674,-0.147022952,1.207811287,-0.340036478
0.707755417,-0.175390919,1.299646809,-0.043128898
0.703891111,-0.175390919,1.39148233,-0.021921214
0.26336026,-0.175390919,1.248326959,-0.75358632
-0.181034898,-0.175390919,1.359069793,-0.446074899
0.059840158,-0.175390919,1.267234272,-0.287017267
-0.598379916,-0.175390919,1.045748602,-0.55211332
-0.407740833,-0.175390919,0.548756368,-0.340036478
-0.953896042,-0.175390919,0.043661,-0.096148109
-1.404731709,-0.175390919,-0.342588399,0.190155629
-0.751664042,-0.175390919,-0.545166756,-0.180978846
0.334205864,-0.175390919,-0.33178422,-0.955059321
0.792770143,-0.175390919,-0.118401685,-0.626340215
0.513252029,-0.175390919,0.251641446,-1.188343847
0.455287444,-0.175390919,0.31646652,-0.562717162
0.340646374,-0.175390919,0.224630998,-0.446074899
0.491354297,-0.175390919,0.022052642,-0.180978846
0.965375798,-0.175390919,0.09498085,-0.573321004
0.835277506,-0.175390919,0.103083985,-0.997474689
0.508099622,-0.175390919,-0.048174522,-0.318828793
0.26336026,-0.175390919,-0.180525714,-0.180978846
-0.697563762,-0.175390919,0.022052642,-0.647547899
-1.52066088,-0.175390919,-0.048174522,-0.446074899
-1.073689519,-0.175390919,-0.129205864,-0.287017267
-0.608684731,-0.175390919,-0.291268549,-0.382451846
-0.287947356,-0.175390919,-0.077886014,-0.55211332
0.043094834,-0.175390919,-0.353392578,0.211363313
-0.572617877,-0.175390919,-0.969230781,-0.00071353
-1.00026771,-0.175390919,-1.142097645,0.126532576
-0.746511635,-0.175390919,-1.193417496,0.243174839
-0.466993521,-0.175390919,-1.333871823,-0.074940424
-1.442086664,-0.175390919,-1.668801372,-0.00071353
-1.672656905,-0.175390919,-1.982122563,-0.180978846
0.548030781,-0.175390919,-2.011834055,0.020494155
-0.457976808,-0.175390919,-1.755234804,-0.414263372
-0.14883235,-0.175390919,-1.517542866,-0.00071353
-0.289235458,-0.175390919,-1.171809138,-0.287017267
0.112652337,-0.175390919,-0.796363917,-0.180978846
0.039230528,-0.175390919,-0.564074069,0.285590208
0.120380948,-0.175390919,-0.504651084,-0.55211332
-0.04063179,-0.175390919,-0.65590959,-0.530905636
0.039230528,-0.175390919,-0.477640637,-0.233998056
0.014756592,-0.175390919,-0.221041386,0.084117207
0.22986961,-0.175390919,-0.140010043,0.168947944
-0.157849064,-0.175390919,-0.191329893,0.062909523
-0.161713369,-0.175390919,-0.067081835,-0.382451846
-0.174594388,-0.175390919,0.124692343,-0.509697952
-0.026462669,-0.175390919,0.213826819,3.424327477
0.139702477,-0.175390919,0.489333384,-0.382451846
1.579800408,0.25012858,-1.57696585,0.540082419
0.545454577,1.129535544,-1.001643318,-0.424867215
0.672976666,-0.175390919,-0.869292126,0.168947944
0.139702477,-0.175390919,-1.193417496,0.306797892
0.053399649,-0.175390919,-1.244737346,0.105324892
0.41922059,-0.175390919,-1.001643318,0.126532576
0.393458552,-0.175390919,-0.626198098,-0.424867215
0.806939264,-0.175390919,-0.534362577,-0.287017267
0.36512031,-0.175390919,-0.199433028,0.062909523
0.621452589,-0.175390919,0.062568313,0.168947944
-0.000700631,-0.175390919,0.356982191,0.434043998
-1.561880141,-0.175390919,0.184115327,1.49442821
-2.207219196,-0.175390919,1.23752278,0.168947944
-1.836245847,-0.175390919,1.612968,0.264382524
-1.975360853,-0.175390919,0.802654575,-0.488490267
-3.943580566,-0.175390919,0.894490096,1.038462999
-3.756805789,-0.175390919,0.559560547,0.773366946
-3.067671269,-0.175390919,0.41910622,1.324766736
0.572504717,-0.175390919,0.95931517,0.540082419
-0.836678768,0.25012858,0.386693683,-0.647547899
0.378001329,-0.175390919,0.670303382,-1.177740005
-0.624141954,-0.175390919,0.710819053,1.059670683
-0.294387866,-0.175390919,1.229419645,0.677932366
0.37156082,-0.175390919,1.421193823,0.306797892
0.192514655,-0.175390919,1.248326959,1.49442821
-0.3175737,-0.175390919,1.01603711,1.324766736
0.021197101,-0.175390919,0.975521439,0.858197683
-0.117917905,-0.175390919,1.097068453,0.126532576
-0.947455532,-0.175390919,1.693999342,-0.149167319
0.050823445,-0.175390919,2.771716198,1.356578262
0.265936463,-0.175390919,2.655571273,0.964236104
0.701314908,-0.175390919,0.745932635,-0.859624742
0.453999342,-0.175390919,0.618983532,-0.467282583
0.651078933,-0.175390919,0.386693683,-0.265809583
0.681993379,-0.175390919,0.184115327,-0.424867215
0.752838984,-0.175390919,0.194919506,-0.817209373
0.557047494,-0.175390919,0.132795477,-0.361244162
0.691010092,-0.175390919,-0.104896461,-0.170375004
0.387018043,-0.175390919,-0.22914452,-0.679359426
0.389594246,-0.175390919,-0.180525714,-0.446074899
-0.052224707,-0.175390919,-0.22914452,-0.265809583
0.025061407,-0.175390919,-0.391207205,-0.509697952
-0.653768297,-0.175390919,0.09498085,-0.689963268
-1.102027761,-0.175390919,0.64059189,-0.530905636
-0.643463482,-0.175390919,-0.372299892,-0.287017267
-0.625430056,-0.175390919,-0.55326989,-1.10351311
-0.902371965,-0.175390919,-0.383104071,-0.75358632
-0.287947356,-0.175390919,-0.180525714,-0.043128898
0.613723978,-0.175390919,-0.464135413,-0.573321004
0.924156537,-0.175390919,-0.221041386,-0.668755583
0.396034756,-0.175390919,-0.099494372,-0.817209373
0.550606985,-0.175390919,-0.574878248,0.105324892
0.374137024,-0.175390919,-0.666713769,-1.082305426
0.335493966,-0.175390919,-0.696425262,-0.223394214
-0.134663229,-0.175390919,-1.001643318,-0.180978846
0.47332087,-0.175390919,-0.958426602,0.126532576
0.481049482,-0.175390919,-1.333871823,1.059670683
-0.17588249,-0.175390919,-1.506738687,-0.40365953
-0.266049624,-0.175390919,-1.517542866,-0.647547899
-0.483738846,-0.175390919,-1.406800031,-0.573321004
-0.759392654,-0.175390919,-1.163706003,-0.75358632
-0.634446769,-0.175390919,-1.25284048,-0.021921214
-0.787730896,-0.175390919,-1.282551972,0.253778681
-0.481162642,-0.175390919,-1.547254358,0.349213261
-0.48631505,-0.175390919,-1.749832714,0.858197683
-0.137239433,-0.175390919,-1.436511523,-0.711170952
-0.992539099,-0.175390919,-0.464135413,-0.8490209
-0.114053599,-0.005183119,-1.061066303,0.614309314
-1.266904805,-0.175390919,-0.596486606,-0.318828793
-0.018734058,-0.175390919,-0.645105411,-0.340036478
0.39217045,-0.175390919,-0.761250336,-0.371848004
0.767008105,-0.175390919,-0.685621083,-0.180978846
0.329053457,-0.175390919,-0.747745112,-0.976267005
0.071433076,-0.175390919,-0.715332575,0.062909523
-0.348488146,-0.175390919,-0.92871511,0.243174839
-0.200356427,-0.175390919,-0.87739526,-0.287017267
0.39217045,-0.175390919,-0.766652425,-0.159771161
0.278817482,-0.175390919,-0.677517948,-0.689963268
0.253055444,-0.175390919,-0.523558398,-0.40365953
0.059840158,-0.175390919,-0.596486606,-0.117355793
0.093330808,-0.175390919,-0.342588399,-0.40365953
-0.361369165,-0.175390919,0.062568313,-0.297621109
-0.439943381,-0.175390919,0.670303382,0.084117207
2.704313372,2.689773706,-1.314964509,0.126532576
0.358679801,1.016063678,-0.534362577,-0.021921214
0.426949202,-0.175390919,-0.180525714,-0.20218653
2.133684227,0.817487912,-0.766652425,-0.414263372
0.745110372,0.023184847,-0.585682427,-0.774794005
0.563488004,-0.175390919,-0.817972275,-0.159771161
0.318748642,-0.175390919,-1.282551972,0.571893945
-0.43221477,-0.175390919,-0.766652425,-0.20218653
0.025061407,-0.175390919,-0.129205864,-0.446074899
-0.096020172,-0.175390919,-0.018463029,0.306797892
-0.812204832,-0.175390919,-0.129205864,0.285590208
-0.75037594,-0.175390919,0.103083985,0.328005576
-0.20937314,-0.175390919,0.402899952,-0.011317372
0.207971878,-0.175390919,0.356982191,0.105324892
-0.072834338,-0.175390919,0.862077559,0.020494155
3.331619,0.533808246,-0.634301232,-1.082305426
1.731796433,5.015946966,-0.320980041,0.593101629
1.087745479,5.923721896,-1.720121222,2.024620316
0.077873585,2.008942508,-0.504651084,-0.00071353
0.524844947,-0.175390919,0.205723685,-0.40365953
0.502947214,-0.175390919,0.375889504,-0.021921214
0.537725966,-0.175390919,0.975521439,-0.287017267
1.033645199,-0.175390919,0.975521439,-0.446074899
0.463016055,-0.175390919,0.986325618,-0.117355793
1.425228179,-0.175390919,-0.377701981,0.921820735
0.553183188,1.24300741,-0.320980041,1.303559052
0.499082908,-0.175390919,0.356982191,2.438170159
0.558335596,0.16502468,0.194919506,0.328005576
-0.075410542,-0.175390919,0.813458754,0.614309314
-0.14883235,-0.175390919,1.734515014,1.165709104
-1.172873366,-0.175390919,2.128867547,1.801939632
-1.328733696,-0.175390919,1.7156077,0.94302842
-2.564023424,-0.175390919,1.958701728,-0.40365953
-2.56788773,-0.175390919,1.105171587,0.571893945
-3.327867854,-0.175390919,1.178099795,1.017255314
-0.076698644,-0.175390919,-0.342588399,2.936550739
-0.184899204,8.05131939,-1.244737346,2.957758423
-0.219677955,-0.175390919,0.519044876,0.285590208
0.995002142,-0.175390919,0.41910622,-0.318828793
0.841718015,-0.175390919,0.246239356,-0.446074899
0.890665888,-0.175390919,0.36778637,-0.817209373
0.451423138,-0.175390919,0.31646652,-0.774794005
-0.302116477,-0.175390919,0.205723685,-0.647547899
-0.193915917,-0.175390919,0.013949508,-0.605132531
-0.160425267,-0.175390919,0.051764134,-0.424867215
0.63562171,-0.175390919,-0.077886014,-0.180978846
0.889377786,-0.175390919,0.176012193,-0.20218653
0.671688564,-0.175390919,0.386693683,-0.074940424
1.475464153,-0.175390919,0.327270699,-1.326193795
2.860173702,-0.175390919,-0.766652425,0.815782314
1.863182827,9.29950992,-0.140010043,0.412836313
1.771727592,-0.175390919,-0.372299892,-0.55211332
1.317027619,-0.175390919,-0.504651084,-0.318828793
0.835277506,-0.175390919,-0.828776454,-0.287017267
0.755415188,-0.175390919,-0.920611976,-0.287017267
0.687145787,-0.175390919,-0.685621083,-0.40365953
0.640774118,-0.175390919,-0.453331234,-0.891436268
0.857175238,-0.175390919,-0.353392578,-1.061097742
-0.168153879,-0.175390919,-0.464135413,0.285590208
0.326477253,-0.175390919,-0.758549291,-0.318828793
0.609859672,-0.175390919,-1.050262124,-0.20218653
0.152583496,-0.175390919,-1.568862716,-0.265809583
0.165464515,-0.175390919,-1.892988086,-0.488490267
0.000587471,-0.175390919,-2.055050771,-0.064336582
-0.572617877,-0.175390919,-1.506738687,-0.774794005
-0.235135178,-0.175390919,-1.406800031,-0.340036478
-0.64217538,-0.175390919,-1.282551972,-0.446074899
-0.89850766,-0.175390919,-1.120489287,-0.626340215
-0.049648504,-0.175390919,-0.858487947,-1.082305426
0.206683776,-0.175390919,-0.477640637,-1.135324637
2.712041983,-0.175390919,-1.657997193,-1.40042069
2.699160964,1.299743344,-1.444614657,-1.135324637
0.845582321,0.25012858,-1.668801372,-0.117355793
1.131540944,-0.175390919,-1.425707344,-0.488490267
1.163743492,-0.175390919,-0.596486606,-0.647547899
2.265070622,-0.175390919,-1.147499735,-1.474647585
2.709465779,0.675648079,-1.277149883,-1.209551532
1.524412026,-0.090287019,-1.020550632,-0.488490267
1.080016868,-0.175390919,-1.020550632,-0.70056711
0.711619723,-0.175390919,-0.599187651,-0.530905636
0.528709252,-0.175390919,-0.310175862,-0.20218653
0.4256611,-0.175390919,0.073372492,-0.223394214
0.086890298,-0.175390919,0.26514667,0.529478577
1.903113986,-0.175390919,-0.383104071,-1.442836058
3.540291509,5.72514613,-1.363583315,-1.464043743
1.569495592,9.015830254,-0.969230781,-0.870228584
0.019908999,-0.175390919,-1.355480181,-0.180978846
-0.181034898,-0.175390919,-1.414903165,0.211363313
0.352239291,-0.175390919,-1.525646,16.39282639
-0.759392654,-0.175390919,-1.020550632,0.190155629
-0.10117258,-0.175390919,-1.061066303,1.038462999
