Humidity_std,Precipitation_std,Temperature_std,Wind Speed_std
0.146108861,-0.192674692,1.446765973,0.78940253
0.635930811,-0.192674692,1.073547962,0.184941292
0.175429189,-0.192674692,1.058839863,0.470064518
0.063322053,-0.192674692,0.805125157,-0.157206578
0.275463249,-0.192674692,0.707684001,-0.014644966
0.453109942,-0.192674692,0.529348301,-0.065967146
-0.235055402,0.27655919,0.40432946,0.236263473
-0.447196599,1.663859363,0.266441033,0.196346221
-0.059133435,-0.192674692,0.529348301,0.087999395
0.449660492,-0.192674692,0.672752266,0.196346221
-0.255752104,-0.090667326,0.895212263,0.532791627
0.265114898,-0.192674692,0.494416566,0.846427175
-0.235055402,-0.192674692,0.507286153,0.567006414
-0.431674072,-0.192674692,0.376751775,0.338907834
0.077119854,-0.192674692,0.266441033,0.162131434
-0.103976289,-0.192674692,0.41168351,0.481469447
0.170255014,-0.192674692,0.238863347,0.219156079
0.234069845,-0.192674692,0.191062026,-0.014644966
-0.488590003,-0.192674692,0.16348434,0.053784608
0.037451175,-0.192674692,0.176353927,-0.003240037
0.111614358,-0.192674692,0.10097492,-0.13439672
-1.676925648,-0.192674692,-0.187671522,0.698163098
-1.64070642,-0.192674692,-0.525957798,-0.077372075
-1.143985569,-0.192674692,-0.650976639,0.219156079
-0.735225703,-0.192674692,-0.616044904,-0.111586862
-1.754538281,-0.192674692,-0.57375912,0.105106789
-2.28402891,-0.192674692,-0.525957798,0.065189537
-1.863195967,-0.192674692,-0.39542342,-0.265553404
-1.10431689,-0.192674692,-0.297982264,-0.014644966
-1.325081713,-0.192674692,-0.125162102,-0.168611507
-1.89079157,-0.192674692,-0.08471483,0.042379679
-1.156058646,-0.192674692,-0.209733671,0.03097475
-1.318182812,-0.192674692,-0.443224741,0.338907834
-1.171581172,-0.192674692,-0.595821268,-0.048859753
-1.485481154,-0.192674692,-0.726355646,0.555601485
-2.056365187,-0.192674692,-0.952492668,0.281883189
-1.361300941,-0.192674692,-1.084865558,-0.100181933
-0.818012511,-0.192674692,-1.112443244,0.162131434
-0.302319684,-0.192674692,-0.952492668,-0.065967146
0.184052815,-0.192674692,-0.932269031,-0.254148475
-0.21090925,-0.192674692,-1.084865558,-0.242743546
-0.324741111,-0.192674692,-1.13266688,-0.208528759
-0.328190562,-0.192674692,-0.926753494,-0.288363262
0.158181937,-0.192674692,-1.002132501,-0.19712383
-0.550680109,-0.192674692,-1.029710187,-0.026049895
-1.278514133,-0.192674692,-1.12531283,0.43584973
-1.102592165,-0.192674692,-1.353288364,-0.077372075
-0.193661998,-0.192674692,-1.533462576,0.008164892
0.320306104,-0.192674692,-1.518754477,0.173536363
0.868768709,-0.192674692,-1.649288855,-0.322578049
0.987774746,-0.192674692,-1.573909848,-0.276958333
0.635930811,-0.192674692,-1.222753986,-0.180016436
0.0391759,-0.192674692,-1.270555307,-0.208528759
-0.631742193,-0.192674692,-1.277909357,-0.026049895
0.347901707,-0.192674692,-1.491176791,-0.208528759
-0.25747683,-0.192674692,-1.215399936,-0.37390023
-0.16089222,-0.192674692,-1.215399936,-0.208528759
0.316856654,-0.192674692,-1.318356629,-0.453734733
-0.11432464,-0.192674692,-1.13266688,-0.516461842
0.227170944,-0.192674692,-1.037064236,-0.13439672
0.534172026,-0.192674692,-1.415797784,-0.13439672
1.248208248,-0.192674692,1.176504655,0.413039872
1.227511546,-0.192674692,1.191212754,0.087999395
1.287876927,-0.192674692,1.239014076,0.162131434
1.056763753,-0.192674692,1.321747132,0.27047826
1.236135172,-0.192674692,1.411834238,0.03097475
0.668700589,-0.192674692,1.286815397,0.03097475
0.313407203,-0.192674692,1.404480189,-0.026049895
1.196466493,-0.192674692,0.955883171,0.920559214
0.894639587,-0.192674692,0.770193422,0.247668402
0.596262132,-0.192674692,0.742615736,0.424444801
0.468632469,-0.192674692,0.624950945,0.27047826
0.051248977,-0.192674692,0.702168464,0.076594466
0.115063808,-0.192674692,0.735261687,-0.026049895
0.173704464,-0.192674692,0.825348793,0.196346221
0.304783577,-0.192674692,0.805125157,0.065189537
0.216822593,-0.192674692,0.887858213,0.219156079
0.527273125,-0.192674692,0.887858213,0.373122621
0.639380261,-0.192674692,0.832702842,-0.157206578
0.006406122,-0.192674692,0.9007278,0.316097976
1.160247264,-0.192674692,0.452130782,-0.408115017
0.761835749,-0.192674692,0.356528139,-0.088777004
0.011580298,-0.192674692,0.198416075,0.304693047
0.918785739,-0.192674692,-0.235472844,-0.516461842
0.215097868,-0.192674692,-0.132516151,0.196346221
1.275803851,-0.192674692,-0.242826893,-0.619106204
0.522098949,-0.192674692,-0.167447886,0.247668402
-0.40407847,-0.192674692,0.045819549,0.20775115
0.642829712,-0.192674692,-0.1545783,-0.282660798
-0.06775706,-0.192674692,-0.036913508,-0.003240037
0.403092912,-0.192674692,0.005372276,-0.037454824
-0.191937273,-0.192674692,0.010887814,0.150726505
0.461733568,-0.192674692,-0.070006731,0.065189537
0.780807726,-0.192674692,0.060527647,-0.111586862
0.37894676,-0.192674692,0.143260704,-0.145801649
0.615234109,-0.192674692,0.060527647,-0.048859753
0.165080838,-0.192674692,-0.099422929,0.150726505
0.546245102,-0.192674692,-0.187671522,-0.145801649
0.370323134,-0.192674692,0.143260704,-0.077372075
0.977426395,-0.192674692,-0.07736078,-0.562081558
0.689397291,-0.192674692,-0.112292515,-0.242743546
0.534172026,-0.192674692,-0.14722425,0.162131434
0.642829712,-0.192674692,-0.345783586,0.127916647
0.970527495,-0.192674692,-0.215249208,-0.231338617
0.673874765,-0.192674692,-0.167447886,-0.288363262
-0.124672991,-0.192674692,-0.070006731,-0.288363262
