PM2.5,Humidity,Precipitation,Temperature,Wind Speed
55.77,79.05,0,53.34,3
71.35,79.43,0,53.79,2.65
90.88,76.02,0,53.6,2.69
90.02,70.17,0,53.19,2.81
81.35,71.01,0,52.48,2.85
66.23,71.27,0,52.62,3.02
61.65,77.45,0,52.14,3.25
62.69,79.42,0,53.08,3.23
55.17,77.73,0,53.86,3.35
74.98,83.97,0,53.64,2.17
86.85,94.72,0,49.59,4.19
25.58,86.98,33.4,51.91,3.81
53.92,86.27,0,51.05,2.9
56.56,82.74,0,50.56,3.12
51.81,79,0,49.36,3.15
58.29,78.38,0,49.02,3.15
69.73,77.85,0,49.89,3.04
79.4,77.49,0,50.75,2.58
97.38,79.17,0,51.12,2.42
87.9,71.21,0,50.71,3.69
78.1,75.05,0,49.62,3.12
69.52,77.25,0,48.54,3.23
83.52,73.7,0,46.62,3.17
76.46,73.8,0,45.42,2.96
78.06,72.52,0,44.82,3.36
99.75,68.07,0,46.85,2.69
116.42,70.69,0,47.22,3.1
104.98,67.53,0,47.68,3
136.42,65.54,0,48.28,2.83
146.22,72.13,0,49.25,2.4
151.85,74.12,0,50.66,2.35
147.54,93.57,0,46.29,2.1
65.21,93.47,5.2,47.08,2.35
42.71,79.08,1.5,46.25,3.31
67.38,81.3,0,47.15,2.96
78.33,81.55,0,50.22,2.81
108.17,90.1,0,48.18,2.03
68.46,93.55,3,47.7,2.28
61.31,84.35,0.3,48.65,2.96
82.19,80.9,0,48.65,2.76
93.79,78.04,0,50.21,2.92
103.38,76.62,0,51.28,3.23
99,75.82,0,52.7,3.21
92.12,73.19,0,53.41,3.92
88.73,87.29,0,51.01,2.06
48.6,100,20.8,47.38,2.04
73.58,84.7,32.4,48.84,2.6
81.33,72.67,0,47.41,3.25
73.42,71.11,0,47.19,3.62
123.48,75.25,0,46.78,18.88
102.35,66.62,0,48.65,3.6
70.79,71.73,0,48.5,4.4
64.81,80.19,0,46.81,4.35
83.69,78.16,0,48.58,2.92
83.21,81.35,0,47.86,2.88
83.33,78.91,0,48.8,3.35
105.71,71.44,0,51.84,3.69
78.17,73.81,0,52.92,3.85
67.88,74.48,0,50.26,3.88
62.5,77.65,0,51.42,3.46
58.65,74.66,0,50.82,4.94
56.52,74.35,0,49.46,3.87
72.12,77.6,0,48.69,3.52
80.85,76.47,0,49.96,3.65
72.73,76.32,0,49.48,3.98
79.15,74.61,0,50.15,4.21
79.71,74.34,0,51.12,4.33
72.85,68.08,0,49.36,4.46
80.6,69.7,0,49.14,3.21
81.67,67.2,0,50.56,3.66
78.52,69.41,0,51.8,3.42
82.69,72.46,0,53.26,3.73
83.21,71.51,0,54.88,4.05
83.81,72.26,0,56.19,3.62
100.02,73.81,0,56.82,3.9
120.04,76.2,0,58.02,3.1
124.79,79.69,0,57.54,3.5
110.98,77.58,0,58.51,3.21
104.96,79.61,0,58.25,3.08
122.42,81.6,0.01,57.39,3.85
148.9,87.78,0,55.18,3.31
64.96,77.54,6.4,56.94,3.29
80.94,71.22,0,55.44,3.08
69,69.15,0,55.21,3.77
46.46,78.14,0.01,54.01,5.08
21.9,87.93,5.6,51.05,3.69
30.52,77.24,1.7,54.97,3.6
42.21,76.61,0,56.79,3.44
51.9,74.08,0,58.4,3.91
57.23,73.5,0,55.74,3.08
47.08,72.8,0,56.68,2.77
42.25,73.74,0,56.15,3.19
45.98,79.08,0,55.81,3.12
47.77,78.46,0,55.32,3.12
49.58,80.87,0,54.8,3.38
63.92,81.44,0,56.04,2.56
79.12,81.44,0,56.26,3.02
86.85,81.09,0,57.28,2.58
84.6,80.42,0,56,3.06
80.42,80.21,0,56.26,2.94
71.17,66.32,0,55.06,3.29
66.58,69.71,0,53,3.38
63.6,69.4,0,51.12,3
64.71,64.95,0,50.19,3.62
69.98,63.52,0,49.62,3.62
71.04,67.03,0,49.02,3.25
80.06,68.68,0,48.31,3.12
88.19,76.93,0,49.25,3.35
88.92,75.03,0,50.11,2.92
95.75,71.1,0,51.09,2.65
84.9,67.45,0,51.16,3.65
102.21,71.44,0,50,2.88
101.04,73.62,0,49.59,3.25
93.44,60.9,0,49.1,3.77
89.1,71.3,0,48.99,3.23
91.58,75.82,0,49.18,3.29
88.1,76.55,0,47.94,3.46
89.19,71.68,0,47.64,2.96
95.77,71.53,0,47.49,2.73
120.85,69.55,0,48.09,2.96
119.71,72.8,0,47.79,3.08
130.08,64.82,0,49.02,2.25
115.6,60.3,0,54.95,2.42
272.15,73.95,0.01,55.62,2.46
308.56,72.59,0.01,55.62,2.33
132.67,66.68,0,56.6,3.58
92.79,59.44,0,55.25,4.06
